"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"591181","occ","","","62486","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Maastrichtian","","70.6","66","18036","-108.040558","36.321110"
"591182","occ","","","62487","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.090836","36.343887"
"591183","occ","","","62488","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Maastrichtian","","70.6","66","18036","-108.029724","36.324722"
"591184","occ","","","62489","Kritosaurus sp.","genus","53195","","Kritosaurus","genus","53195","Late Campanian","","83.5","70.6","18036","-108.041115","36.302776"
"591185","occ","","","62490","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","18036","-108.321945","36.486111"
"591628","occ","34420","","62528","Monoclonius ? sp.","genus","38857","","Monoclonius","genus","38857","Late Campanian","","83.5","70.6","12314","-108.463890","36.623611"
"591629","occ","","","62529","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Late Maastrichtian","","70.6","66","18036","-108.026665","36.304169"
"591630","occ","18343","","62530","Monoclonius sp.","genus","38857","","Monoclonius","genus","38857","Late Campanian","","83.5","70.6","15088","-108.295830","36.701111"
"591631","occ","","","62531","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Late Maastrichtian","","70.6","66","18036","-108.000000","36.314167"
"591632","occ","","","62532","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Late Maastrichtian","","70.6","66","18036","-108.016945","36.324722"
"591633","occ","18225","","62533","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Late Campanian","","83.5","70.6","18036","-108.016945","36.324722"
"591634","occ","","","62534","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Late Maastrichtian","","70.6","66","18036","-108.031113","36.323055"
"591635","occ","18347","","62535","Ankylosaurus ? sp.","genus","38837","","Ankylosaurus","genus","38837","Late Campanian","","83.5","70.6","15088","-108.082779","36.333889"
"591672","occ","","","62539","Stephanosaurus marginatus ?","species","56161","nomen dubium","Hadrosauridae","family","38755","Campanian","","83.6","72.1","18053","-112.731941","48.736942"
"591673","occ","28467","","62540","""Trachodon"" marginatus","species","105827","nomen dubium","Hadrosauridae","family","38755","Campanian","","83.6","72.1","12319","-112.451942","48.466946"
"591674","occ","35052","","62541","Oohkotokia horneri","species","257758","","Oohkotokia horneri","species","257758","Campanian","","83.6","72.1","66472","-112.641998","48.910999"
"591676","occ","18226","","62543","n. gen. Glyptodontopelta n. sp. mimus","species","82624","","Glyptodontopelta mimus","species","82624","Late Maastrichtian","","70.6","66","18004","-108.000000","36.314167"
"591677","occ","21730","","62544","Glyptodontopelta mimus","species","82624","","Glyptodontopelta mimus","species","82624","Late Maastrichtian","","70.6","66","29922","-108.030701","36.314800"
"591679","occ","","","62546","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Late Maastrichtian","","70.6","66","18055","-108.000000","36.314167"
"591680","occ","18348","","62547","Trachodontidae indet.","family","52931","subjective synonym of","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","15088","-107.887779","36.169167"
"591682","occ","35477","","62549","Pentaceratops ? sp.","genus","38859","","Pentaceratops","genus","38859","Late Campanian","","83.5","70.6","14625","-107.905800","36.169300"
"591685","occ","","","62551","Muttaburrasaurus sp.","genus","38750","","Muttaburrasaurus","genus","38750","Late Albian","Early Cenomanian","105.3","93.5","63423","144.383331","-20.966667"
"591693","occ","38327","I","62555","Anomoepus cf. gracillimus","species","67423","subjective synonym of","Anomoepus scambus","species","67417","Early Jurassic","","201.3","174.1","76631","148.212006","-25.052999"
"591694","occ","","IF","62556","Skartopus australis","species","159284","subjective synonym of","Wintonopus latomorum","species","81251","Early Cenomanian","","99.6","93.5","61634","142.806671","-23.076111"
"591695","occ","","IF","62556","Wintonopus latomorum","species","81251","","Wintonopus latomorum","species","81251","Early Cenomanian","","99.6","93.5","61634","142.806671","-23.076111"
"591697","occ","34018","IF","61671","Garbina roeorum","species","353507","","Garbina roeorum","species","353507","Valanginian","Barremian","139.8","125","62321","122.177223","-17.973612"
"591698","occ","34016","IF","61671","n. gen. Luluichnus n. sp. mueckei","species","353509","","Luluichnus mueckei","species","353509","Valanginian","Barremian","139.8","125","62321","122.177223","-17.973612"
"591707","occ","38031","","62561","cf. Stegosaurus armatus","species","52941","nomen dubium","Stegosaurus","genus","38814","Late Jurassic","","163.5","145","76174","-107.814163","44.632221"
"591881","occ","","","62631","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Early Maastrichtian","","70.6","66","18069","-151.427780","69.525833"
"592337","occ","","","62721","Corythosaurus n. sp. excavatus","species","63236","subjective synonym of","Corythosaurus casuarius","species","56403","Campanian","","83.6","72.1","12046","-111.509666","50.736790"
"592346","occ","28476","","62723","Hadrosaurinae ? indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Late Campanian","","83.5","70.6","7398","-109.317833","46.285629"
"594487","occ","","","62927","Protoceratops andrewsi","species","52824","","Protoceratops andrewsi","species","52824","Campanian","","83.6","72.1","18147","103.564720","44.127499"
"595305","occ","37525","","63084","Nodosauridae indet.","family","38817","","Nodosauridae","family","38817","Turonian","","93.9","89.8","18154","-120.925003","55.152500"
"602072","occ","","","64003","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","15088","-108.119904","36.343899"
"602092","occ","","","64009","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","15088","-108.262703","36.343899"
"602098","occ","","","64013","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","15088","-107.977203","36.154800"
"602120","occ","","","64018","n. gen. Shuangmiaosaurus n. sp. gilmorei","species","84662","","Shuangmiaosaurus gilmorei","species","84662","Late Albian","","105.3","99.6","18460","120.792221","41.772778"
"602419","occ","","","64094","Pentaceratops ? sp.","genus","38859","","Pentaceratops","genus","38859","Late Campanian","","83.5","70.6","18513","-107.889198","36.186100"
"602422","occ","","","64096","Pentaceratops ? sp.","genus","38859","","Pentaceratops","genus","38859","Late Campanian","","83.5","70.6","18513","-108.084198","36.314800"
"602424","occ","","","64097","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Coniacian","","89.8","86.3","16510","69.558334","41.896389"
"602427","occ","","","64098","Asiaceratops sp.","genus","66588","","Asiaceratops","genus","66588","Cenomanian","","100.5","93.9","16510","65.911667","40.232498"
"602428","occ","","","64098","Protoceratopsidae indet.","family","38845","","Protoceratopsidae","family","38845","Cenomanian","","100.5","93.9","16510","65.911667","40.232498"
"602434","occ","","","64103","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Turonian","Santonian","93.5","83.6","16510","64.597221","41.430000"
"602438","occ","","","64104","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Santonian","","85.8","83.5","16510","73.486946","40.895832"
"602713","occ","","","53143","Acanthopholidae indet.","subfamily","53389","subjective synonym of","Nodosauridae","family","38817","Campanian","Maastrichtian","83.6","66","18525","78.710258","43.892826"
"602714","occ","","","53143","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Campanian","Maastrichtian","83.6","66","18525","78.710258","43.892826"
"602725","occ","","","53140","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Santonian","Early Campanian","86.3","70.6","16510","77.792511","44.191010"
"602826","occ","","I","64146","Amblydactylus n. sp. kortmeyeri","species","84917","","Amblydactylus kortmeyeri","species","84917","Albian","","113","100.5","18528","-122.583885","56.155277"
"602829","occ","","I","64147","Amblydactylus kortmeyeri","species","84917","","Amblydactylus kortmeyeri","species","84917","Albian","","113","100.5","18528","-122.183060","55.967777"
"602830","occ","","I","64148","Amblydactylus kortmeyeri","species","84917","","Amblydactylus kortmeyeri","species","84917","Albian","","113","100.5","18528","-122.158890","55.955833"
"604183","occ","","","64334","Prosaurolophus sp.","genus","38767","","Prosaurolophus","genus","38767","Campanian","","83.6","72.1","18556","-110.017197","50.757000"
"604184","occ","30558","","64335","Lambeosaurus sp.","genus","38763","","Lambeosaurus","genus","38763","Late Campanian","","83.5","70.6","52782","-110.132202","50.713299"
"604187","occ","","","64338","Hadrosaurus sp.","genus","38762","","Hadrosaurus","genus","38762","Campanian","","83.6","72.1","18556","-112.205559","49.286388"
"604188","occ","","","64339","Edmontosaurus sp.","genus","38761","","Edmontosaurus","genus","38761","Campanian","","83.6","72.1","18556","-112.934799","51.928299"
"604286","occ","18360","","64352","n. gen. Pachyrhinosaurus n. sp. canadensis","species","66023","","Pachyrhinosaurus canadensis","species","66023","Late Campanian","Early Maastrichtian","83.5","66","18562","-113.008003","50.189499"
"604289","occ","","","64353","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","Late Maastrichtian","","70.6","66","18579","-113.005203","52.081001"
"604426","occ","","I","64390","n. gen. Amblydactylus n. sp. gethingi","species","84915","nomen dubium","Amblydactylus","genus","68216","Albian","","113","100.5","18574","-122.191109","56.013611"
"604470","occ","","","61324","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Early Aptian","","125.45","122.46","18590","-0.097778","40.618889"
"604471","occ","","","64398","Centrosaurus recurvicornis","species","85261","nomen dubium","Monoclonius","genus","38857","Campanian","","83.6","72.1","18594","-110.449997","48.999722"
"604472","occ","33689","","64399","Monoclonius lowei","species","66021","subjective synonym of","Monoclonius crassus","species","54486","Late Campanian","","83.5","70.6","62727","-110.575104","49.360100"
"604473","occ","","","64400","Chasmosaurus n. sp. russelli","species","66020","","Chasmosaurus russelli","species","66020","Late Campanian","","83.5","70.6","18595","-110.482399","49.141899"
"604474","occ","31787","","64401","Chasmosaurus sp.","genus","38855","","Chasmosaurus","genus","38855","Campanian","","83.6","72.1","14101","-110.593300","49.112801"
"604475","occ","37835","","64402","Mojoceratops perifania","species","170959","subjective synonym of","Chasmosaurus russelli","species","66020","Middle Campanian","Late Campanian","83.5","70.6","33878","-108.138603","51.557201"
"604545","occ","21760","","64408","Iguanodon atherfieldensis","species","64255","recombined as","Mantellisaurus atherfieldensis","species","64255","Early Aptian","","125.45","122.46","29947","-0.097778","40.618889"
"604773","occ","","","64428","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Maastrichtian","","72.1","66","18611","-104.736389","47.053612"
"604774","occ","","","64429","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Maastrichtian","","72.1","66","18611","-105.118057","46.258057"
