"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"1172079","occ","","","117986","n. gen. Xianshanosaurus n. sp. shijiagouensis","species","202273","","Xianshanosaurus shijiagouensis","species","202273","Aptian","Albian","125","100.5","37927","112.589302","34.112000"
"1177107","occ","","","151677","n. gen. Normanniasaurus n. sp. genceyi","species","280185","","Normanniasaurus genceyi","species","280185","Middle Albian","","109","105.3","48471","0.100000","49.516701"
"1181607","occ","","","152253","n. gen. Katepensaurus n. sp. goicoecheai","species","282474","","Katepensaurus goicoecheai","species","282474","Middle Cenomanian","Turonian","99.6","89.8","48949","-69.378891","-44.906666"
"1187982","occ","38368","IF","153397","cf. Parabrontopodus sp.","genus","68971","","Parabrontopodus","genus","68971","Late Tithonian","Valanginian","150.8","132.9","76729","116.313332","40.671391"
"1187985","occ","38369","I","153397","Brontopodus sp.","genus","67216","","Brontopodus","genus","67216","Late Tithonian","Valanginian","150.8","132.9","76729","116.313332","40.671391"
"1188025","occ","38391","","89990","Ampelosaurus atacis","species","65140","","Ampelosaurus atacis","species","65140","Late Campanian","","83.5","70.6","55429","5.733333","43.500000"
"1189695","occ","","","57894","Camarasaurus sp.","genus","38697","","Camarasaurus","genus","38697","Kimmeridgian","Tithonian","157.3","145","49550","-106.390556","42.035831"
"1189697","occ","","","126540","Apatosaurus ? sp.","genus","38665","","Apatosaurus","genus","38665","Late Oxfordian","Early Kimmeridgian","161.2","150.8","49550","-107.458336","44.051388"
"1189698","occ","","","126540","Barosaurus ? sp.","genus","38666","","Barosaurus","genus","38666","Late Oxfordian","Early Kimmeridgian","161.2","150.8","49550","-107.458336","44.051388"
"1189699","occ","","","126540","Diplodocus ? sp.","genus","38669","","Diplodocus","genus","38669","Late Oxfordian","Early Kimmeridgian","161.2","150.8","49550","-107.458336","44.051388"
"1190808","occ","","","153762","n. gen. Xinjiangtitan n. sp. shanshanesis","species","287380","","Xinjiangtitan shanshanesis","species","287380","Bathonian","Late Jurassic","168.3","145","49813","90.573891","42.963055"
"1190809","occ","","","116297","Rebbachisauridae indet.","unranked clade","57365","","Rebbachisauridae","unranked clade","57365","Albian","","113","100.5","49814","10.260556","33.184723"
"1191068","occ","31410","IF","153887","Brontopodus n. sp. oncalensis","species","287492","","Brontopodus oncalensis","species","287492","Early Berriasian","Middle Berriasian","145","140.2","49867","-2.381624","42.030209"
"1191673","occ","","","153997","n. gen. Quetecsaurus n. sp. rusconii","species","287943","","Quetecsaurus rusconii","species","287943","Middle Turonian","Late Turonian","93.5","89.3","49910","-68.916664","-34.066666"
"1193100","occ","","","154181","n. gen. Yongjinglong n. sp. datangi","species","288220","","Yongjinglong datangi","species","288220","Barremian","Aptian","129.4","113","49978","103.312798","35.940830"
"1195295","occ","29732","","22650","Camarasaurus lentus","species","71837","","Camarasaurus lentus","species","63764","Late Kimmeridgian","","155.7","150.8","19566","-108.120003","43.380001"
"1197958","occ","","","154925","Camarasaurus sp.","genus","38697","","Camarasaurus","genus","38697","Kimmeridgian","","157.3","152.1","50456","-107.400002","38.450001"
"1197962","occ","","","154924","Apatosaurus sp.","genus","38665","","Apatosaurus","genus","38665","Kimmeridgian","","157.3","152.1","50456","-107.400002","38.450001"
"1197964","occ","","","154924","Camarasaurus sp.","genus","38697","","Camarasaurus","genus","38697","Kimmeridgian","","157.3","152.1","50456","-107.400002","38.450001"
"1197967","occ","","","154924","Diplodocinae indet.","unranked clade","319099","","Diplodocinae","unranked clade","65916","Kimmeridgian","","157.3","152.1","50456","-107.400002","38.450001"
"1197970","occ","","","154924","Diplodocidae indet.","unranked clade","38664","","Diplodocidae","unranked clade","38664","Kimmeridgian","","157.3","152.1","50456","-107.400002","38.450001"
"1199042","occ","","IF","155021","Parabrontopodus sp.","genus","68971","","Parabrontopodus","genus","68971","Early Tithonian","","150.8","145","50537","6.814722","46.985832"
"1204690","occ","","","25074","Vahiny depereti","species","294730","","Vahiny depereti","species","294730","Maastrichtian","","72.1","66","51085","46.583332","-15.900000"
"1204691","occ","","","55271","n. gen. Vahiny n. sp. depereti","species","294730","","Vahiny depereti","species","294730","Maastrichtian","","72.1","66","51085","46.582222","-15.907778"
"1205132","occ","","","115001","cf. Magyarosaurus sp.","genus","52883","","Magyarosaurus","genus","52883","Late Maastrichtian","","70.6","66","49557","23.573771","45.996052"
"1205169","occ","","I","156133","cf. Brontopodus sp.","genus","67216","","Brontopodus","genus","67216","Kimmeridgian","","157.3","152.1","51114","-109.763458","38.830009"
"1205171","occ","34620","IF","156134","Parabrontopodus sp.","genus","68971","","Parabrontopodus","genus","68971","Kimmeridgian","","157.3","152.1","65404","-106.608459","39.895519"
"1205594","occ","","","156241","n. gen. Leinkupal n. sp. laticauda","species","295115","","Leinkupal laticauda","species","295115","Late Berriasian","Valanginian","145","132.9","51173","-69.674164","-39.817501"
"1205595","occ","35416","","156241","n. gen. Bajadasaurus n. sp. pronuspinax","species","381350","","Bajadasaurus pronuspinax","species","381350","Late Berriasian","Valanginian","145","132.9","67852","-69.674164","-39.817501"
"1209913","occ","","I","52175","Navahopus sp.","genus","67772","","Navahopus","genus","67772","Early Jurassic","","201.3","174.1","51458","-115.529999","35.429199"
"1220161","occ","","","46439","Camarasaurus lentus","species","71837","","Camarasaurus lentus","species","63764","Kimmeridgian","","157.3","152.1","52132","-110.687622","39.323990"
"1220162","occ","","","46439","Camarasaurus sp.","genus","38697","","Camarasaurus","genus","38697","Kimmeridgian","","157.3","152.1","52132","-110.687622","39.323990"
"1220184","occ","","","64144","Nemegtosaurus n. sp. pachi","species","54842","nomen dubium","Nemegtosaurus","genus","38671","Campanian","Maastrichtian","83.6","66","9258","89.856010","42.821259"
"1227130","occ","","","161337","n. gen. Dreadnoughtus n. sp. schrani","species","304824","","Dreadnoughtus schrani","species","304824","Campanian","Maastrichtian","83.6","66","52577","-71.983330","-49.883331"
"1227703","occ","","","52815","Apatosaurus louisae","species","57752","","Apatosaurus louisae","species","57752","Kimmeridgian","Tithonian","157.3","145","52605","-105.908501","42.152802"
"1227707","occ","","","52815","Camarasaurus sp.","genus","38697","","Camarasaurus","genus","38697","Kimmeridgian","Tithonian","157.3","145","46207","-105.908501","42.152802"
"1229707","occ","36759","","49653","Amanzia greppini","species","409505","","Amanzia greppini","species","82952","Early Kimmeridgian","","155.7","150.8","71775","7.377222","47.288612"
"1237630","occ","30547","","46439","Apatosaurus ? sp.","genus","38665","","Apatosaurus","genus","38665","Kimmeridgian","","157.3","152.1","53051","-110.687622","39.323990"
"1237632","occ","33198","","46439","Barosaurus sp.","genus","38666","","Barosaurus","genus","38666","Kimmeridgian","","157.3","152.1","61877","-110.687622","39.323990"
"1239985","occ","","","120898","Thecodontosaurus sp.","genus","53022","","Thecodontosaurus","genus","53022","Rhaetian","","208.5","201.3","53178","-2.391389","51.203056"
"1243987","occ","","","163917","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Early Cenomanian","","99.6","93.5","53517","-4.080000","31.510000"
"1243997","occ","","","155212","Titanosauridae indet.","family","38680","","Titanosauridae","family","38680","Early Cenomanian","","99.6","93.5","53517","-3.861468","30.881699"
"1244127","occ","","","163944","n. gen. Huangshanlong n. sp. anhuiensis","species","309609","","Huangshanlong anhuiensis","species","309609","Middle Jurassic","","174.1","163.5","53528","118.333336","29.716667"
"1246332","occ","","F","164377","Megaloolithidae indet.","unranked clade","65555","","Megaloolithidae","unranked clade","65555","Early Tithonian","","150.8","145","53638","-1.410238","46.046669"
"1248398","occ","","","164787","Haplocanthosaurus sp.","genus","38658","","Haplocanthosaurus","genus","38658","Kimmeridgian","","157.3","152.1","53857","-106.933334","39.200001"
"1251083","occ","","","164849","Bonitasaura salgadoi","species","58913","","Bonitasaura salgadoi","species","58913","Early Campanian","Middle Campanian","83.5","70.6","53867","-67.549721","-39.100834"
"1251417","occ","","","165198","Alamosaurus sp.","genus","38683","","Alamosaurus","genus","38683","Late Maastrichtian","","70.6","66","1135","-103.203888","29.396389"
"1252648","occ","","","165562","Alamosaurus ? sanjuanensis","species","63399","","Alamosaurus sanjuanensis","species","63399","Late Maastrichtian","","70.6","66","54129","-103.203888","29.396389"
"1252925","occ","","","53673","n. gen. Microdontosaurus n. sp. dayensis","species","65649","","Microdontosaurus dayensis","species","65649","Middle Jurassic","","174.1","163.5","46057","97.327209","31.067663"
"1252927","occ","","","165590","Lufengosaurus n. sp. changduensis","species","313234","","Lufengosaurus changduensis","species","313234","Early Jurassic","","201.3","174.1","46057","97.199997","31.100000"
"1252928","occ","","","165590","n. gen. Damalasaurus n. sp. magnus","species","313241","","Damalasaurus magnus","species","313241","Early Jurassic","","201.3","174.1","46057","97.199997","31.100000"
"1253472","occ","","","165720","n. gen. Qijianglong n. sp. guokr","species","313710","","Qijianglong guokr","species","313710","Late Jurassic","","163.5","145","54169","106.581947","29.000000"
"1264894","occ","","","58516","Brontosaurus parvus","species","319100","","Brontosaurus parvus","species","66540","Kimmeridgian","Tithonian","157.3","145","55026","-109.741203","38.710346"
"1265057","occ","","","21852","Diplodocus hallorum","species","104974","","Diplodocus hallorum","species","66615","Early Tithonian","","150.8","145","55026","-109.300552","40.441387"
"1265058","occ","31054","","168056","Diplodocus hallorum","species","104974","","Diplodocus hallorum","species","66615","Kimmeridgian","Tithonian","157.3","145","55026","-106.079170","41.901386"
"1265059","occ","","","21852","Diplodocinae indet.","unranked clade","319099","","Diplodocinae","unranked clade","65916","Early Tithonian","","150.8","145","55026","-109.300552","40.441387"
"1265061","occ","","","21852","Barosaurus sp.","genus","38666","","Barosaurus","genus","38666","Early Tithonian","","150.8","145","55026","-109.300552","40.441387"
"1265062","occ","","","28366","Diplodocinae indet.","unranked clade","319099","","Diplodocinae","unranked clade","65916","Late Kimmeridgian","Early Tithonian","155.7","145","55026","-105.224701","38.539501"
"1265063","occ","33412","","28366","Galeamopus pabsti","species","352582","","Galeamopus pabsti","species","352582","Late Kimmeridgian","Early Tithonian","155.7","145","62229","-105.224701","38.539501"
"1265066","occ","","","49338","Apatosaurus parvus","species","319141","recombined as","Brontosaurus parvus","species","66540","Late Kimmeridgian","Tithonian","155.7","145","55036","-102.824997","36.897499"
"1267093","occ","31227","IF","168409","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55401","1.259238","42.170296"
"1267094","occ","31229","IF","168411","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55401","1.270573","42.168053"
"1267096","occ","31228","IF","168412","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","55401","1.274405","42.172298"
"1273967","occ","","","47424","Cetiosauridae indet.","family","38654","","Cetiosauridae","family","38654","Late Bathonian","","167.7","164.7","55303","-2.075149","51.714863"
"1274132","occ","","IF","169280","Megaloolithus siruguei","species","67202","","Megaloolithus siruguei","species","67202","Early Maastrichtian","","70.6","66","61144","1.794040","42.180744"
