"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat"
"1526044","occ","","","213667","Gallinago sp.","genus","83479","","Gallinago","genus","83479","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526045","occ","","","213667","Aquila cf. heliaca/adalberti informal","species","94488","species not entered","Aquila","genus","94488","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526046","occ","","","213667","Haliaeetus albicilla","species","336225","","Haliaeetus albicilla","species","336224","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526047","occ","","","213667","Accipitridae indet.","family","39323","","Accipitridae","family","39323","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526048","occ","","","213667","Athene vallgomerensis","species","94499","species not entered","Athene","genus","94499","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526049","occ","","","213667","Falco tinnunculus","species","365943","","Falco tinnunculus","species","365943","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526050","occ","","","213667","Falco rusticolus","species","369250","","Falco rusticolus","species","369250","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526051","occ","","","213667","Corvus pliocaenus","species","336371","","Corvus pliocaenus","species","210442","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526052","occ","","","213667","Corvidae indet.","family","39445","","Corvidae","family","39445","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526053","occ","","","213667","Paridae indet.","family","99146","","Paridae","family","99146","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526054","occ","","","213667","Turdus sp.","genus","83491","","Turdus","genus","83491","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1526055","occ","","","213667","Coccothraustes coccothraustes","species","369531","","Coccothraustes coccothraustes","species","369530","Calabrian","","1.806","0.781","77641","-3.313056","42.299442"
"1527281","occ","","","169930","n. gen. Kompsornis n. sp. longicaudus","species","426565","","Kompsornis longicaudus","species","426565","Aptian","","125","113","73836","119.401108","41.240002"
"1528456","occ","","","214293","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","73868","-111.564636","50.723866"
